Suburb,Total
Pretty Beach (Central Coast),36
Pretty Beach (Shoalhaven),0
Pretty Pine,0
Primbee,139
Primrose Valley,14
Prospect,353
Pucawan,0
Puddledock,0
Pullabooka,0
Pulletop,0
Pumpenbil,6
Punchbowl (Canterbury-Bankstown),1262
Punchbowl (Clarence Valley),0
Purfleet,67
Purlewaugh,3
Putney,85
Putta Bucca,1
Putty,6
Pymble,298
Pyramul,4
Pyree,9
Pyrmont,2252
Quaama,6
Quambone,15
Quanda,0
Quandary,0
Quandialla,9
Queanbeyan East,363
Queanbeyan West,283
Queens Park,125
Queens Pinch,1
Queenscliff,85
Quialigo,3
Quidong,0
Quiera,0
Quipolly,16
Raby,164
Raglan,46
Rainbow Flat,22
Rainbow Reach,1
Raleigh,32
Ramornie,11
Ramsgate,110
Ramsgate Beach,65
Rand,12
Randwick,1510
Rangari,4
Rangers Valley,0
Rankin Park,43
Rankins Springs,39
Rannock,0
Rappville,18
Rathmines,82
Ravensdale,1
Ravenswood,89
Ravensworth,12
Rawdon Island,6
Rawdon Vale,1
Raworth,43
Rawsonville,7
Red Head,13
Red Hill (Snowy Valleys),0
Red Hill (Tamworth Regional),3
Red Hill (Warren),0
Red Range,12
Red Rock,32
Redbank,13
Redbournberry,7
Reddestone,1
Redhead,154
Redlands,0
Reedy Creek,0
Reedy Swamp,0
Reefton,1
Regents Park,349
Regentville,45
Reids Flat,0
Reidsdale,4
Rennie,2
Renwick,10
Repentance Creek,4
Repton,26
Reserve Creek,4
Retreat,13
Revesby,1502
Revesby Heights,38
Rhine Falls,2
Rhodes,550
Richlands,2
Richmond Hill,29
Richmond Lowlands,11
Richmond Vale,10
Rileys Hill,2
Ringwood,0
Riverlea,4
Riverside,12
Riverstone,928
Rivertree,1
Riverview,58
Rixs Creek,2
Rob Roy,0
Robertson,60
Robin Hill,18
Rock Flat,5
Rock Forest,3
Rock Valley,5
Rockdale,1699
Rockley,19
Rockley Mount,2
Rockton,2
Rocky Creek (Gwydir),0
Rocky Creek (Inverell),2
Rocky Glen,1
Rocky Hall,1
Rocky Plain,0
Rocky River (Tenterfield),4
Rocky River (Uralla),3
Rodd Point,32
Rollands Plains,5
Rookhurst,0
Rookwood,18
Rooty Hill,1135
Ropers Road,0
Ropes Crossing,269
Rose Bay,485
Rose Valley (Kiama),6
Rose Valley (Snowy Monaro Regional),6
Rosebank,21
Roseberg,2
Roseberry,5
Roseberry Creek,11
Rosebery,645
Rosebrook,3
Rosedale,18
Rosehill,453
Roselands,554
Rosemeath,1
Roseville,279
Roseville Chase,28
Rosewood (Port Macquarie-Hastings),3
Rosewood (Snowy Valleys),8
Roslyn,1
Rossglen,1
Rossgole,4
Rossi,4
Rossmore,124
Roto,7
Rouchel,0
Rouchel Brook,0
Roughit,1
Round Swamp,2
Rous,10
Rous Mill,8
Rouse Hill,699
Rowan,5
Rowena,10
Rowlands Creek,7
Royal National Park,109
Royalla,16
Rozelle,500
Ruby Creek,0
Rufus,3
Rugby,3
Rukenvale,3
Run-o-Waters,2
Running Stream,7
Rushcutters Bay,179
Rushes Creek,1
Rushforth,10
Russell Lea,105
Russell Vale,83
Rutherford,1503
Ruthven,3
Ryan,0
Rydal,13
Ryde,1092
Rye Park,7
Ryhope,8
Rylstone,44
Sackville,7
Sackville North,6
Saddleback Mountain,0
Sadleir,267
Safety Beach,16
Salisbury,2
Salisbury Plains,1
Sallys Flat,1
Salt Ash,70
Saltwater,5
San Isidore,7
Sancrox,33
Sanctuary Point,429
Sandgate,164
Sandigo,4
Sandilands,0
Sandon,0
Sandringham,68
Sandy Beach,120
Sandy Creek (Cobar),0
Sandy Creek (Upper Hunter Shire),0
Sandy Crossing,1
Sandy Gully,0
Sandy Hill,12
Sandy Hollow,19
Sandy Point,23
Sanger,0
Sans Souci,348
Sapphire,1
Sapphire Beach,96
Saratoga,64
Sassafras,2
Saumarez,2
Saumarez Ponds,7
Savernake,4
Sawpit Creek,0
Sawtell,267
Sawyers Gully,54
Scarborough,31
Scheyville,2
Schofields,461
Scotia,0
Scotland Island,43
Scotts Creek,0
Scotts Flat,1
Scotts Head,47
Seaham,39
Seal Rocks,22
Sebastopol,0
Seelands,3
Sefton,550
Segenhoe,7
Seven Oaks,0
Sextonville,1
Shadforth,4
Shallow Bay,10
Shalvey,453
Shanes Park,48
Shannon Brook,5
Shannon Vale,7
Shannondale,2
Shannons Flat,1
Shark Creek,4
Sharps Creek,0
Sheedys Gully,7
Shell Cove,107
Shellharbour,411
Shellharbour City Centre,433
Shelly Beach,85
Sherwood (Clarence Valley),4
Sherwood (Kempsey),17
Sherwood (Kyogle),0
Shoal Bay,202
Shoalhaven Heads,111
Shooters Hill,0
Shortland,224
Silent Grove,0
Silverton,2
Silverwater (Lake Macquarie),17
Silverwater (Parramatta),237
Simpkins Creek,1
Singleton Heights,306
Singleton Military Area,0
Six Mile Swamp,0
Skennars Head,19
Skillion Flat,3
Skinners Shoot,9
Sleepy Hollow,5
Smeaton Grange,119
Smithfield,825
Smiths Creek (Clarence Valley),0
Smiths Creek (Kyogle),0
Smiths Creek (Tweed),5
Smiths Lake,56
Smithtown,35
Snowball,0
Sodwalls,2
Sofala,17
Soldiers Point,111
Somerton,38
South Arm (Clarence Valley),7
South Arm (Nambucca),24
South Ballina,7
South Bathurst,223
South Bowenfels,35
South Coogee,296
South Durras,13
South Golden Beach,30
South Gundurimba,11
South Guyra,18
South Hurstville,179
South Lismore,466
South Littleton,13
South Maitland,125
South Maroota,7
South Murwillumbah,152
South Nowra,267
South Pambula,5
South Penrith,614
South Tamworth,1321
South Turramurra,36
South West Rocks,386
South Wolumla,3
Southampton,1
Southgate,14
Speers Point,212
Speewa,2
Spencer,12
Spicers Creek,4
Spicketts Creek,1
Splitters Creek,2
Spring Creek,7
Spring Farm,155
Spring Flat,30
Spring Grove,5
Spring Hill (Cabonne),19
Spring Hill (Wollongong),12
Spring Mountain,0
Spring Plains,0
Spring Ridge,8
Spring Terrace,0
Springdale,5
Springdale Heights,182
Springfield (Snowy Monaro Regional),0
Springrange,5
Springside,6
Springvale (Lithgow),0
Springwood,687
St Albans,2
St Andrews,226
St Clair (Singleton),4
St Fillans,7
St George,0
St Georges Basin,133
St Helens Park,272
St Huberts Island,29
St Ives Chase,37
St Johns Park,172
St Leonards,650
St Peters,284
Stanborough,3
Stanbridge,13
Stanford Merthyr,45
Stanhope,13
Stanhope Gardens,245
Stanmore,444
Stannifer,2
Stannum,1
Stanwell Park,34
Stanwell Tops,11
State Mine Gully,3
Steam Plains,1
Steeple Flat,4
Stewarts Brook,1
Stewarts River,2
Stockinbingal,12
Stockrington,9
Stockton,396
Stockyard Creek,1
Stokers Siding,26
Stonehenge,1
Stonequarry,1
Stony Chute,11
Stony Creek (Bega Valley),5
Stony Creek (Mid-Western Regional),1
Stony Crossing,0
Stotts Creek,1
Stratford,15
Strathcedar,1
Stratheden,3
Strathfield,3461
Strathfield South,274
Stroud,40
Stroud Hill,3
Stroud Road,12
Stuart Town,14
Stuarts Point,74
Stubbo,10
Stud Park,0
Suffolk Park,146
Sugarloaf,1
Summer Hill (Dungog),1
Summer Hill (Inner West),491
Summer Hill Creek,2
Summer Island,0
Summerland Point,105
Sun Valley,43
Sunny Corner,7
Sunset Strip,0
Sunshine,8
Sunshine Bay,76
Suntop,2
Surf Beach,92
Surfside,77
Surry Hills,5106
Sutton,41
Sutton Forest,78
Swan Bay (Port Stephens),19
Swan Bay (Richmond Valley),2
Swan Creek,5
Swan Vale,0
Swanbrook,0
Swanhaven,6
Swans Crossing,0
Swansea,419
Swansea Heads,30
Sweetmans Creek,3
Sydenham,1472
Sydney,12412
Sydney Olympic Park,731
Sylvania,443
Sylvania Waters,123
Tabbil Creek,2
Tabbimoble,4
Tabbita,5
Table Top,22
Tabulam,138
Tacoma,24
Tacoma South,3
Tahlee,2
Tahmoor,372
Talarm,4
Talawanta,0
Talbingo,15
Tallimba,8
Tallong,6
Tallowwood Ridge,1
Tallwood,0
Tallwoods Village,11
Talmalmo,2
Talofa,7
Taloumbi,1
Tamban,9
Tambar Springs,22
Tambaroora,7
Taminda,117
Tanglewood,10
Tanja,7
Tannabar,7
Tannas Mount,3
Tantangara,1
Tantawangalo,6
Tantonan,2
Tapitallee,6
Tara,0
Taradale,2
Tarago,32
Taralga,14
Tarban,3
Tarbuck Bay,10
Tarcutta,54
Taree South,47
Taren Point,170
Tarlo,4
Tarraganda,4
Tarrawanna,56
Tarriaro,1
Tarro,189
Tascott,103
Tatham,6
Tathra,77
Tatton,53
Taylors Arm,19
Taylors Beach,21
Taylors Flat,4
Tea Gardens,169
Telarah,323
Telegraph Point,58
Telopea,439
Temora,454
Tempe,270
Tenambit,308
Tenandra,0
Tennyson,8
Tennyson Point,24
Tenterden,1
Tenterfield,495
Terania Creek,3
Terara,11
Teridgerie,0
Termeil,13
Terrabella,0
Terrace Creek,1
Terragon,11
Terranora,63
Terreel,0
Terrey Hills,84
Terrigal,695
Terry Hie Hie,4
Teven,14
Tewinga,4
Texas,3
Thalgarrah,1
The Angle,0
The Bight,13
The Branch,3
The Brothers,0
The Entrance North,134
The Freshwater,0
The Gap (Richmond Valley),2
The Gap (Wagga Wagga),7
The Glen,0
The Gulf,0
The Hatch,0
The Hill,137
The Junction,177
The Lagoon,5
The Marra,1
The Meadows,1
The Oaks,95
The Pilliga,34
The Pinnacles,6
The Pocket,1
The Ponds,223
The Ridgeway,4
The Risk,4
The Rock,60
The Rocks (Bathurst Regional),3
The Rocks (Sydney),686
The Sandon,0
The Slopes,1
The Whiteman,3
Theresa Creek,3
Theresa Park,12
Thirldene,0
Thirroul,536
Thora,24
Thornleigh,378
Thornton,624
Thrumster,83
Thuddungra,0
Thule,6
Thumb Creek,0
Thyra,0
Tianjara,0
Tibbuc,0
Tibooburra,17
Tichborne,7
Tighes Hill,180
Tilba Tilba,9
Tilbuster,0
Tilpa,1
Timbarra,0
Timbillica,1
Timbumburi,2
Timor,1
Tindarey,2
Tinderry,0
Tingira Heights,71
Tinonee,62
Tinpot,0
Tintenbar,28
Tintinhull,7
Tiona,2
Tipperary,1
Tiri,0
Tirrannaville,4
Titaatee Creek,0
Tocumwal,211
Tomago,77
Tomakin,68
Tomalla,0
Tombong,2
Tomboye,2
Tomerong,37
Tomewin,1
Tomingley,18
Tomki,1
Toms Creek,1
Tonderburine,0
Tongarra,11
Toogong,0
Tooleybuc,13
Toolijooa,0
Tooloom,1
Tooloon,0
Tooma,1
Toongabbie,961
Toongi,1
Toonumbar,0
Tooranie,0
Tooraweenah,11
Toorooka,4
Toothdale,5
Tootool,2
Toowoon Bay,81
Topi Topi,1
Torrington,13
Torryburn (Dungog),3
Torryburn (Uralla),3
Totnes Valley,0
Tottenham,40
Toukley,775
Towallum,4
Towamba,13
Townsend,49
Towradgi,359
Towrang,8
Tralee,0
Trangie,129
Tregeagle,11
Trenayr,4
Trentham Cliffs,4
Trewilga,2
Triamble,0
Triangle Flat,0
Trundle,84
Trungley Hall,1
Trunkey Creek,3
Tubbamurra,2
Tubbul,0
Tucabia,11
Tucki Tucki,3
Tuckombil,6
Tuckurimba,4
Tuena,10
Tuggerah,1100
Tuggerawong,68
Tugrabakh,1
Tullakool,2
Tullamore,24
Tullarwalla,0
Tullera,5
Tullibigeal,24
Tulloona,1
Tullymorgan,10
Tumbarumba,144
Tumbi Umbi,392
Tumblong,10
Tumbulgum,21
Tumorrama,3
Tumut Plains,0
Tuncester,1
Tuncurry,462
Tunglebung,4
Tuntable Creek,12
Tuppal,4
Tura Beach,62
Turill,5
Turlinjah,4
Turners Flat,0
Turondale,2
Tuross,3
Tuross Head,48
Turramurra,356
Turrawan,3
Turrella,211
Turvey Park,340
Tweed Heads South,779
Tweed Heads West,413
Twelve Mile,2
Twelve Mile Creek,19
Twelve Mile Peg,0
Twenty Forests,0
Twin Rivers,1
Two Mile Flat,2
Tyalgum,16
Tyalgum Creek,3
Tygalgah,8
Tyndale,14
Tyringham,14
Uarbry,3
Uki,68
Ulamambri,4
Ulan,12
Ulladulla,587
Ulmarra,35
Ulong,34
Ultimo,1146
Underbank,0
Undercliffe,0
Ungarie,28
Unumgar,2
Upper Allyn,5
Upper Bingara,2
Upper Burringbar,8
Upper Bylong,0
Upper Colo,6
Upper Coopers Creek,2
Upper Copmanhurst,2
Upper Corindi,4
Upper Crystal Creek,4
Upper Dartbrook,2
Upper Duck Creek,0
Upper Duroby,5
Upper Eden Creek,1
Upper Fine Flower,17
Upper Growee,0
Upper Horseshoe Creek,1
Upper Horton,11
Upper Kangaroo River,4
Upper Kangaroo Valley,0
Upper Karuah River,0
Upper Lansdowne,22
Upper Macdonald,2
Upper Main Arm,11
Upper Mangrove,0
Upper Manilla,19
Upper Mongogarie,6
Upper Myall,0
Upper Nile,0
Upper Orara,36
Upper Pappinbarra,2
Upper Rollands Plains,6
Upper Rouchel,5
Upper Taylors Arm,1
Upper Tooloom,3
Upper Turon,5
Upper Wilsons Creek,6
Upsalls Creek,2
Uralba,15
Uralla,146
Urana,20
Urangeline,0
Urangeline East,4
Uranquinty,8
Urawilkie,0
Urbenville,38
Uriarra,0
Urila,3
Urliup,4
Urunga,231
Utungun,5
Vacy,19
Vale Of Clwydd,40
Valery,8
Valla,53
Valla Beach,55
Valley Heights,59
Varroville,9
Vaucluse,274
Verges Creek,8
Verona,2
Villawood,1393
Vincentia,171
Vineyard,167
Violet Hill,0
Vittoria,3
Voyager Point,23
Wadalba,203
Wadbilliga,0
Wadeville,7
Wagstaffe,26
Wahroonga,453
Waitara,197
Waitui,1
Wakefield,245
Wakeley,134
Wakool,10
Walang,3
Walbundrie,8
Walcha,133
Walcha Road,2
Waldegrave,0
Walla Walla,28
Wallabadah,22
Wallabi Point,22
Wallacetown,0
Wallacia,74
Wallaga Lake,42
Wallagoot,12
Wallamore,8
Wallanbah,2
Wallangra,2
Wallanthery,3
Wallarah,12
Wallaringa,1
Wallarobba,3
Wallaroo,16
Wallendbeen,17
Walleroobie,0
Wallingat,1
Wallis Lake,4
Wallsend,1423
Walmer,0
Wamban,1
Wambangalang,2
Wamberal,265
Wamboin,22
Wambool,2
Wambrook,1
Wanaaring,10
Wandandian,22
Wandella,1
Wandera,0
Wandook,0
Wandsworth,3
Wang Wauk,7
Wanganella,2
Wanganui,0
Wangi Wangi,174
Wantabadgery,1
Wantagong,1
Wantiool,0
Wapengo,10
Warabrook,135
Waratah,1572
Waratah West,137
Warburn,2
Wardell,62
Wardrop Valley,1
Wards Mistake,0
Wards River,6
Wareemba,36
Warialda,127
Warialda Rail,14
Warkworth,24
Warnervale,293
Warraderry,1
Warragai Creek,0
Warragamba,33
Warragoon,0
Warrah,2
Warrah Creek,7
Warrah Ridge,2
Warral,19
Warranulla,2
Warrawee,85
Warrawidgee,1
Warrazambil Creek,1
Warregah Island,0
Warrell Creek,15
Warren,312
Warri,4
Warriewood,253
Warrimoo,110
Warroo,0
Warrumbungle,0
Washpool (Clarence Valley),0
Washpool (Mid-Coast),0
Watagan,3
Waterfall,132
Watersleigh,5
Waterview,5
Waterview Heights,42
Watsons Bay,107
Wattamolla,8
Wattamondara,13
Wattle Flat,9
Wattle Grove,337
Wattle Ponds,26
Wattle Ridge,0
Wattle Springs,1
Watton,0
Wauchope,589
Waugorah,0
Waukivory,7
Waverley,462
Waverly,2
Waverton,151
Way Way,4
Wayo,0
Weabonga,0
Wean,1
Webbers Creek,1
Webbs Creek,67
Wee Jasper,119
Wee Waa,381
Weedallion,1
Weemelah,3
Weetaliba,4
Weethalle,13
Weilmoringle,2
Weismantels,0
Welaregang,8
Wellingrove,9
Wellington Vale,0
Wells Crossing,20
Wendoree Park,4
Wentworth Falls,249
Wentworth Point,324
Wentworthville,799
Werai,3
Wereboldera,1
Wermatong,3
Werombi,18
Werri Beach,14
Werrikimbe,0
Werrington,752
Werrington County,182
Werrington Downs,115
Werris Creek,205
West Ballina,262
West Bungawalbin,3
West Coraki,2
West Gosford,456
West Haven,29
West Hoxton,245
West Nowra,66
West Pennant Hills,223
West Pymble,123
West Ryde,498
West Wiangaree,4
West Wollongong,294
West Wyalong,242
Westbrook,2
Westdale (Snowy Valleys),1
Westdale (Tamworth Regional),129
Westleigh,38
Westmead,1203
Weston,365
Westwood,0
Wetuppa,0
Whale Beach,8
Wheeler Heights,31
Wheeny Creek,8
Wheeo,0
Wherrol Flat,4
Whian Whian,7
Whiporie,7
White Cliffs,14
White Rock,4
Whitebridge,105
Whiteman Creek,15
Whitlow,0
Whittingham,19
Whitton,39
Whoota,2
Wiagdon,0
Wiangaree,4
Wiarborough,2
Wickham,190
Widden,1
Widgelli,2
Wilberforce,131
Wilbetree,0
Wilcannia,502
Wild Cattle Creek,0
Wildes Meadow,7
Wiley Park,532
Willala,0
Willawarrin,14
Willbriggie,5
Willi Willi,1
Williamsdale,5
Williamtown,116
Willigobung,2
Willina,2
Willmot,464
Willoughby,184
Willoughby East,18
Willow Tree,56
Willow Vale (Kiama),3
Willow Vale (Wingecarribee),9
Willurah,0
Wilpinjong,0
Wilsons Creek,8
Wilton,104
Wimbledon,2
Wimborne,0
Winburndale,0
Windang,162
Windella,12
Windellama,13
Windera,1
Windermere,0
Windermere Park,41
Windeyer,17
Windowie,0
Windradyne,129
Windsor,1043
Windsor Downs,22
Winegrove,0
Wingadee,0
Wingello,19
Wingen,9
Winifred,1
Winmalee,148
Winston Hills,265
Winton,14
Wirlinga,2
Wirragulla,4
Wirrimah,6
Wirrimbi,2
Wirrinya,6
Wisemans Ferry,40
Wittitrin,3
Wog Wog (Bega Valley),0
Wog Wog (Queanbeyan-Palerang Regional),0
Woko,0
Wolgan Valley,0
Wollangambe,0
Wollar,7
Wollemi,0
Wolli Creek,3594
Wollogorang,6
Wollombi,12
Wollomombi,13
Wollongbar,76
Wollstonecraft,198
Wollumboola,4
Wollun,0
Wolumla,41
Wombarra,33
Wombat,28
Wombat Creek,0
Wombeyan Caves,5
Womboota,7
Wonboyn,7
Wonboyn North,1
Wondabyne,0
Wondalga,3
Wongarbon,36
Wongawilli,13
Wongo Creek,0
Wongwibinda,3
Woodberry,526
Woodbine,125
Woodburn (Richmond Valley),59
Woodburn (Shoalhaven),1
Woodcroft,256
Woodenbong,48
Woodford,60
Woodford Island,17
Woodhill,0
Woodhouselee,0
Woodlands (Eurobodalla),1
Woodlawn,0
Woodpark,48
Woodrising,49
Woodside,9
Woodsreef,5
Woodstock (Cowra),32
Woodstock (Inverell),0
Woodstock (Shoalhaven),5
Woodview,7
Woodville,11
Woody Head,0
Woolbrook,10
Woolgarlo,0
Woolgoolga,515
Wooli,53
Woollahra,283
Woollamia,22
Woolloomooloo,1375
Woolners Arm,1
Woolomin,21
Woolooma,3
Woolooware,407
Wooloweyah,10
Woolwich,25
Woomargama,8
Woombah,26
Woongarrah,157
Woonona,790
Wootton,20
Wooyung,619
Worlds End,0
Woronora,76
Woronora Dam,1
Woronora Heights,28
Worrigee,254
Worrowing Heights,18
Woy Woy,2515
Woy Woy Bay,14
Wrathall,0
Wrights Beach,7
Wrights Creek,0
Wuuluman,3
Wyalong,48
Wyan,8
Wyanbene,0
Wyangala,23
Wyangle,0
Wybung,6
Wyee Point,29
Wylie Creek,1
Wylies Flat,2
Wymah,0
Wyndham,7
Wyneden,3
Wyoming,737
Wyong Creek,20
Wyongah,80
Wyrallah,9
Yabbra,4
Yadboro,6
Yagon,1
Yagoona,1213
Yalbraith,0
Yallah,31
Yallaroi,1
Yalwal,0
Yamba,595
Yambulla,0
Yanco,55
Yanderra,18
Yanga,0
Yannergee,1
Yantabulla,1
Yaouk,1
Yarra,22
Yarrabandai,5
Yarrabin,2
Yarragal,1
Yarragrin,1
Yarragundry,3
Yarrahapinni,1
Yarramalong,9
Yarramundi,25
Yarranbella,17
Yarrangobilly,0
Yarras (Port Macquarie-Hastings),3
Yarravel,87
Yarrawa,0
Yarrawarrah,39
Yarrawonga,20
Yarrawonga Park,13
Yarrie Lake,5
Yarrow,0
Yarrowford,1
Yarrowyck,1
Yass River,6
Yathella,4
Yattalunga,10
Yatte Yattah,4
Yaven Creek,0
Yelgun,31
Yellow Dam,0
Yellow Pinch,0
Yellow Rock (Blue Mountains),17
Yellow Rock (Shellharbour),10
Yenda,58
Yennora,230
Yeoval,23
Yerong Creek,17
Yerranderie,1
Yerrinbool,70
Yerriyong,16
Yessabah,4
Yetholme,12
Yetman,5
Yippin Creek,3
Yoogali,24
Yorklea,14
Yowie Bay,43
Yowrie,1
Yullundry,0
Yuraygir,0
Zara,9
Zetland,493
Abermain,221
Adelong,125
Arakoon,22
Ashmont,966
Avondale,79
Awaba,98
Badgerys Creek,48
Bellata,23
Bellbird Heights,66
Bishops Bridge,19
Black Hill,22
Blayney,293
Brocklesby,4
Buchanan,32
Buff Point,174
Bungendore,159
Bungwahl,14
Bushells Ridge,14
Callaghan,295
Camberwell,15
Capertee,29
Carwoola,18
Clarence Town,112
Clothiers Creek,11
Clydesdale,6
Coaldale,4
Collie,15
Coraki,199
Corndale,24
Corney Town,12
Couridjah,8
Croom,13
Culburra Beach,137
Cumborah,39
Deep Creek (Kempsey),2
Denham Court,66
Dora Creek,214
Drake,48
Dulguigan,6
East Gresford,24
Eden,399
Fairy Meadow,869
Fassifern,625
Ferodale,39
Georges Hall,388
Glenbrook,275
Glennies Creek,14
Glenquarry,4
Haberfield,347
Hamlyn Terrace,314
Hassall Grove,220
Hermitage Flat,31
Hillgrove (Armidale Regional),7
Howell,10
Jerrara,3
Kangaloon,5
Karangi,20
Karuah,130
Kelvin,4
Kendall,38
Kingstown,4
Kooragang,34
Krambach,20
Kurrajong,68
Lalor Park,670
Leppington,262
Lovedale,46
Lower Belford,8
Mangerton,219
Manilla,299
Mayfield North,9
Medowie,402
Minto Heights,13
Missabotti,14
Mitchell,78
Mitchells Flat,7
Modanville,14
Monaltrie,17
Moonee Beach,108
Mount Arthur,12
Mount Austin,729
Mount Kembla,45
Mount Olive (Oberon),2
Mullion Creek,18
Myuna Bay,5
Nambucca Heads,864
Nelson (The Hills Shire),10
Nelsons Plains,9
North Bourke,23
Nulkaba,79
Paxton,71
Pelaw Main,117
Port Kembla,1086
Pulganbar,2
Quirindi,453
Quorrobolong,18
Razorback,32
Rocky Point,13
Round Mountain,17
Runnyford,3
San Remo,367
Sandy Flat,5
Scone,442
Seaforth,158
Seahampton,15
Sedgefield,15
Silverdale,79
South Wentworthville,296
Springvale (Wagga Wagga),25
Sussex Inlet,224
Tallawang,2
Tamarama,78
Tarana,8
Temagog,12
Teralba,423
Terramungamine,12
Tharbogang,30
The Channon,18
Thirlmere,141
Thurgoona,264
Tingha,143
Tocal,5
Tolland,871
Toormina,498
Tregear,580
Tullimbar,17
Valentine,94
Walgett,814
Wallalong,23
Wallerawang,158
Watsons Creek,5
Wedderburn,44
Welby,38
Wentworth,196
West Kempsey,1032
West Wallsend,182
Wisemans Creek,3
Woodlands (Wingecarribee),6
Wybong,15
Yarras (Bathurst Regional),1
Yarratt Forest,4
Adamstown Heights,169
Albion Park Rail,664
Ambarvale,707
Armidale,3619
Austral,148
Ballina,1400
Bass Hill,883
Bathurst,1752
Bellambi,726
Beresfield,980
Bexhill,17
Blacktown,16453
Bonnyrigg,534
Bonville,70
Bourke,1499
Broadmeadow,1213
Broken Hill,2313
Bucca,20
Buronga,135
Byron Bay,2449
Cabramatta,4538
Cameron Park,355
Campbelltown,8510
Canley Vale,704
Cardiff,1556
Carlingford,708
Cartwright,284
Castlereagh,70
Casula,1234
Cessnock,2548
Coffs Harbour,4621
Colyton,527
Coonabarabran,536
Coonamble,777
Corrimal,802
Cowra,1360
Crestwood,319
Darlinghurst,2845
Deniliquin,853
Dharruk,283
Doonside,1831
Dubbo,6650
Dungowan,31
Eagle Vale,315
East Albury,390
East Maitland,1432
Edensor Park,296
Edgeworth,476
Emerton,573
Exeter,59
Fairfield,2977
Figtree,501
Forbes,1116
Freemans Waterhole,67
Gateshead,331
Gilgandra,458
Glen Innes,1104
Glenfield,3011
Griffith,2860
Guildford,1841
Gunnedah,1052
Hay,417
Inverell,1498
Jewells,98
Kellyville,692
Kellyville Ridge,267
Kelso,906
Kingscliff,363
Koonawarra,267
Kurri Kurri,793
Lake Illawarra,371
Lavington,1543
Lightning Ridge,391
Lismore,1790
Lithgow,925
Liverpool,10620
Llandilo,86
Macquarie Fields,2486
Maitland,1774
Middleton Grange,170
Minchinbury,439
Minto,1950
Miranda,2427
Moorebank,707
Moree,3008
Mount Druitt,7975
Mount Hutton,385
Mudgee,1308
Murrumbateman,38
Murwillumbah,434
Muswellbrook,1835
Narara,475
Narellan,868
Narrabeen,409
Narrabri,989
New Lambton,514
Newcastle,1566
North St Marys,592
Nowra,2701
Oakhurst,347
Old Erowal Bay,42
Orange,5147
Ourimbah,447
Paddington,783
Parkes,1689
Pendle Hill,560
Penrith,6618
Pheasants Nest,37
Port Macquarie,3622
Quakers Hill,1182
Queanbeyan,1581
Raymond Terrace,2290
Redfern,5623
Richmond,1238
Riverwood,1632
Rosemeadow,646
Ruse,287
Rydalmere,409
Salamander Bay,454
Seven Hills,2567
Singleton,889
Somersby,118
South Albury,247
South Grafton,1242
South Granville,421
South Gundagai,98
South Kempsey,580
South Windsor,741
Springfield (Central Coast),198
St Clair (Penrith),766
St Ives,283
St Marys,6392
Sutherland,3107
Tamworth,1233
Tanilba Bay,165
Taree,2896
The Entrance,935
Toronto,718
Tumut,935
Tweed Heads,1326
Tyagarah,189
Umina Beach,1038
Unanderra,1014
Wagga Wagga,2416
Warilla,736
Warners Bay,557
Warrawong,1318
Warwick Farm,2075
Watanobbi,303
Waterloo,1745
Wellington,1729
West Albury,229
West Bathurst,334
West Tamworth,1293
Wetherill Park,632
Whalan,933
Windale,718
Wingham,302
Wollongong,6592
Wyee,525
Wyong,2080
Yarrowitch,65
Yass,407
Young,1047
Bradbury,623
Kingswood (Penrith),1911
Hamilton,3129
Ingleburn,2303
